source_file,text,links,html,field_name
mis.bogazici.edu.tr_content_bilgin-metin.html,"Ozdemir, S., Wynn, M., Metin, B. (2023), ""Cybersecurity and Country of Origin: Towards a New Framework for Assessing Digital Product Domesticity"", Sustainability Vol: 15, No: 1, pp. 87,https://doi.org/10.3390/su15010087(SSCI)",https://doi.org/10.3390/su15010087 ,"<li>Ozdemir, S., Wynn, M., Metin, B. (2023), ""Cybersecurity and Country of Origin: Towards a New Framework for Assessing Digital Product Domesticity"", Sustainability Vol: 15, No: 1, pp. 87, <a href=""https://doi.org/10.3390/su15010087 "">https://doi.org/10.3390/su15010087 </a>(SSCI) </li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Basaran, Y., Cicekoglu, O. (2022), ""MOSFET-C Current Mode Filter for Secure Communication Applications"", AEUE - International Journal of Electronics and Communications, Vol: 143.",,"<li>Metin, B., Basaran, Y., Cicekoglu, O. (2022), ""MOSFET-C Current Mode Filter for Secure Communication Applications"", AEUE - International Journal of Electronics and Communications, Vol: 143.</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Basaran, Y., Herencsar, N., Faseehuddin, M., Cicekoglu, O. (2022), ""Mosfet-C Transimpedance Filters With Central Frequency Tunability Feature"", International Journal of Electronics (Accepted for publication) (SCIE) .",,"<li>Metin, B., Basaran, Y., Herencsar, N., Faseehuddin, M., Cicekoglu, O. (2022), ""Mosfet-C Transimpedance Filters With Central Frequency Tunability Feature"", International Journal of Electronics (Accepted for publication) (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Kaluç, O.E, Öncü, A., Cicekoglu, O. (2022), ""Supplementary MOSFET-C transimpedance mode filters for wireless systems"", Analog Integrated Circuits and Signal Processing, Vol: 113, pp. 223-230 (SCIE) .",,"<li>Metin, B., Kaluç, O.E, Öncü, A., Cicekoglu, O. (2022), ""Supplementary MOSFET-C transimpedance mode filters for wireless systems"", Analog Integrated Circuits and Signal Processing, Vol: 113, pp. 223-230 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Cevik, I., Metin, B., Herencsar, N., Cicekoglu, O., Kuntman, H. (2021), ""Transimpedance type MOS-C bandpass analog filter core circuits"", Analog Integrated Circuits and Signal Processing, Vol: 106, No: 3, pp. 543-551 (SCI) .",,"<li>Cevik, I., Metin, B., Herencsar, N., Cicekoglu, O., Kuntman, H. (2021), ""Transimpedance type MOS-C bandpass analog filter core circuits"", Analog Integrated Circuits and Signal Processing, Vol: 106, No: 3, pp. 543-551 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Kör, B., Metin, B. (2021), ""Understanding human aspects for an effective information security management implementation"", International Journal of Applied Decision Sciences, Vol: 14, No: 2, pp. 105-122(SCOPUS).",,"<li>Kör, B., Metin, B. (2021), ""Understanding human aspects for an effective information security management implementation"", International Journal of Applied Decision Sciences, Vol: 14, No: 2, pp. 105-122(SCOPUS).</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Herencsar, N., Kledrowetz, V., Cicekoglu, O. (2019), ""MOS-only voltage-mode all-pass filter core suitable for IC design"", AEU - International Journal of Electronics and Communications, Vol: 110, pp. 1-7 (SCI) .",,"<li>Metin, B., Herencsar, N., Kledrowetz, V., Cicekoglu, O. (2019), ""MOS-only voltage-mode all-pass filter core suitable for IC design"", AEU - International Journal of Electronics and Communications, Vol: 110, pp. 1-7 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Cicekoglu, O., Ozoguz, S. (2018), ""A class of MOSFET-C multifunction filters"", Analog Integrated Circuits Signal Processing, Vol: 97, No: 1, pp. 5-13 (SCI) .",,"<li>Metin, B., Cicekoglu, O., Ozoguz, S. (2018), ""A class of MOSFET-C multifunction filters"", Analog Integrated Circuits Signal Processing, Vol: 97, No: 1, pp. 5-13 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Atasoyu, M., Metin, B., Kuntman, H., Cicekoglu, O. (2017), ""Simple Realization of a Third Order Butterworth Filter with MOS-only Technique"", International Journal of Electronics and Communications, AEU, Vol: 81, pp. 205-208 (SCI) .",,"<li>Atasoyu, M., Metin, B., Kuntman, H., Cicekoglu, O. (2017), ""Simple Realization of a Third Order Butterworth Filter with MOS-only Technique"", International Journal of Electronics and Communications, AEU, Vol: 81, pp. 205-208 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"A. Uygur,, Metin, B., Kuntman, H., Cicekoglu, O. (2016), ""Current mode MOSFET-only third order Butterworth low pass filter with DTMOS tuning technique"", Analog Integrated Circuits and Signal Processing (ALOG), Vol: 89, pp. 645-654 (SCI) .",,"<li>A. Uygur,, Metin, B., Kuntman, H., Cicekoglu, O. (2016), ""Current mode MOSFET-only third order Butterworth low pass filter with DTMOS tuning technique"", Analog Integrated Circuits and Signal Processing (ALOG), Vol: 89, pp. 645-654 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Jerabek, J., Dvorak, J., Sotner, R., Metin, B., Vrba, K. (2016), ""Multifunctional current-mode filter with dual-parameter control of the pole frequency"", Advances in Electrical and Computer Engineering, Vol: 16, No: 3, pp. 31-36 (SCIE) .",,"<li>Jerabek, J., Dvorak, J., Sotner, R., Metin, B., Vrba, K. (2016), ""Multifunctional current-mode filter with dual-parameter control of the pole frequency"", Advances in Electrical and Computer Engineering, Vol: 16, No: 3, pp. 31-36 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Arslan, E., Pal, K., Herencsar, N., Metin, B. (2016), ""Design of Novel CMOS DCCII with Reduced Parasitics and its All-Pass Filter Applications"", Elektronika ir Elektrotechnika, Vol: 22, No: 6 (SCIE) .",,"<li>Arslan, E., Pal, K., Herencsar, N., Metin, B. (2016), ""Design of Novel CMOS DCCII with Reduced Parasitics and its All-Pass Filter Applications"", Elektronika ir Elektrotechnika, Vol: 22, No: 6 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Arslan E., B. Metin B., Ciceokoglu O. (2015), ""MOSFET-Only Multi-Function Biquad Filter"", AEUE - International Journal of Electronics and Communications, Vol: 69, pp. 1737-1740 (SCI) .",,"<li>Arslan E., B. Metin B., Ciceokoglu O. (2015), ""MOSFET-Only Multi-Function Biquad Filter"", AEUE - International Journal of Electronics and Communications, Vol: 69, pp. 1737-1740 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Atasoyu, M., Metin, B., Kuntman, H., Herencsar, N. (2015), ""New Current-Mode Class 1 Frequency-Agile Filter for Multi Protocol GPS Application"", Elektronika Ir Elektrotechnika, Vol: 21, No: 5, pp. 35-39 (SCI) .",,"<li>Atasoyu, M., Metin, B., Kuntman, H., Herencsar, N. (2015), ""New Current-Mode Class 1 Frequency-Agile Filter for Multi Protocol GPS Application"", Elektronika Ir Elektrotechnika, Vol: 21, No: 5, pp. 35-39 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Sotner R., Herencsar N., Jerabek J., Vrba K., Dostal T., Jaikla W., Metin B. (2015), ""Novel first order all-pass filter applications of-z-copy voltage differencing current conveyor"", Indian Journal of Pure and Applied Physics, Vol: 53, pp. 537-545 (SCIE) .",,"<li>Sotner R., Herencsar N., Jerabek J., Vrba K., Dostal T., Jaikla W., Metin B. (2015), ""Novel first order all-pass filter applications of-z-copy voltage differencing current conveyor"", Indian Journal of Pure and Applied Physics, Vol: 53, pp. 537-545 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Herencsar, N., Koton, J., Horng, J. W. (2014), ""DCCII-Based Novel Lossless Grounded Inductance Simulators with No Element Matching Constrains"", Radioengineering, Vol: 23, No: 1, pp. 532-539 (SCIE) .",,"<li>Metin, B., Herencsar, N., Koton, J., Horng, J. W. (2014), ""DCCII-Based Novel Lossless Grounded Inductance Simulators with No Element Matching Constrains"", Radioengineering, Vol: 23, No: 1, pp. 532-539 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Koton, J., Herencsar, N., Vrba, K., Metin, B. (2014), ""Voltage-mode multifunction filter with mutually independent Q and x0 control feature using VDDDAs"", Analog Integrated Circuits and Signal Processing (ALOG), DOI 10.1007/s10470-014-0323-z., Vol: 81, pp. 53-60 (SCI) .",,"<li>Koton, J., Herencsar, N., Vrba, K., Metin, B. (2014), ""Voltage-mode multifunction filter with mutually independent Q and x0 control feature using VDDDAs"", Analog Integrated Circuits and Signal Processing (ALOG), DOI 10.1007/s10470-014-0323-z., Vol: 81, pp. 53-60 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Safari, L., Minaei, S., Metin, B. (2014), ""A low power current controllable single-input three-output current-mode filter using MOS transistors only"", AEU - International Journal of Electronics and Communications, Vol: 68, No: 12, pp. 1205-1213 (SCI) .",,"<li>Safari, L., Minaei, S., Metin, B. (2014), ""A low power current controllable single-input three-output current-mode filter using MOS transistors only"", AEU - International Journal of Electronics and Communications, Vol: 68, No: 12, pp. 1205-1213 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Yildirim, T., Metin, B. (2014), ""Critical Information processes"", ISACA Journal, Vol: 2, No: 2014, pp. SCOPUS.",,"<li>Yildirim, T., Metin, B. (2014), ""Critical Information processes"", ISACA Journal, Vol: 2, No: 2014, pp. SCOPUS.</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Herencsar, N., Cicekoglu, O. (2013), ""A Novel MOSFET-RC All-pass Filter for Low Voltage Operation"", Radioengineering, Vol: 22, No: 4, pp. 985-994 (SCIE) .",,"<li>Metin, B., Herencsar, N., Cicekoglu, O. (2013), ""A Novel MOSFET-RC All-pass Filter for Low Voltage Operation"", Radioengineering, Vol: 22, No: 4, pp. 985-994 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Arslan, E., Metin, B., Kuntman, H., Cicekoglu, O. (2013), ""MOS-only second order current-mode LP/BP filter"", Analog Integrated Circuits and Signal Processing (ALOG), Vol: 74, No: 1, pp. 105-109 (SCI) .",,"<li>Arslan, E., Metin, B., Kuntman, H., Cicekoglu, O. (2013), ""MOS-only second order current-mode LP/BP filter"", Analog Integrated Circuits and Signal Processing (ALOG), Vol: 74, No: 1, pp. 105-109 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Arslan, E., Metin, B., Cicekoglu, O., Morgul, A. (2013), ""High Performance CMOS CCI in a 0.35µm CMOS technology and a New All-Pass Filter Application"", Turkish Journal of Electrical Engineering & Computer Sciences, Vol: 21, pp. 1584-1594 (SCIE) .",,"<li>Arslan, E., Metin, B., Cicekoglu, O., Morgul, A. (2013), ""High Performance CMOS CCI in a 0.35µm CMOS technology and a New All-Pass Filter Application"", Turkish Journal of Electrical Engineering &amp; Computer Sciences, Vol: 21, pp. 1584-1594 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Yildirim, T., Metin, B. (2013), ""Convenient Quality Control for IT Governance-aware Enterprises"", ISACA Journal, Vol: 1, No: 2013, pp. SCOPUS.",,"<li>Yildirim, T., Metin, B. (2013), ""Convenient Quality Control for IT Governance-aware Enterprises"", ISACA Journal, Vol: 1, No: 2013, pp. SCOPUS.</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Herencsar, N., Vrba, K. (2012), ""A CMOS DCCII with a Grounded Capacitor Based Cascadable All-pass Filter Application"", Radioengineering, Vol: 21, No: 2, pp. 718-724 (SCIE) .",,"<li>Metin, B., Herencsar, N., Vrba, K. (2012), ""A CMOS DCCII with a Grounded Capacitor Based Cascadable All-pass Filter Application"", Radioengineering, Vol: 21, No: 2, pp. 718-724 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B. (2012), ""Canonical Inductor Simulators with Grounded Capacitors Using DCCII"", International Journal of Electronics, Vol: 99, No: 7, pp. 1027-1035 (SCIE) .",,"<li>Metin, B. (2012), ""Canonical Inductor Simulators with Grounded Capacitors Using DCCII"", International Journal of Electronics, Vol: 99, No: 7, pp. 1027-1035 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Pal, K., Cicekoglu, O. (2012), ""A New Approach for High-Input Impedance in Voltage Mode Filters Using First-Generation Current Conveyor in Place of Second-Generation Current Conveyor"", International Journal of Electronics, Vol: 99, No: 1, pp. 131-139 (SCI) .",,"<li>Metin, B., Pal, K., Cicekoglu, O. (2012), ""A New Approach for High-Input Impedance in Voltage Mode Filters Using First-Generation Current Conveyor in Place of Second-Generation Current Conveyor"", International Journal of Electronics, Vol: 99, No: 1, pp. 131-139 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Herencsar, N., Lahiri, A., Koton, J., Vrba, K., Metin, B. (2012), ""Realization of Resistorless Lossless Positive and Negative Grounded Inductor Simulators Using Single ZC-CCCITA"", Radioengineering, Vol: 21, No: 1, pp. 264-272 (SCIE) .",,"<li>Herencsar, N., Lahiri, A., Koton, J., Vrba, K., Metin, B. (2012), ""Realization of Resistorless Lossless Positive and Negative Grounded Inductor Simulators Using Single ZC-CCCITA"", Radioengineering, Vol: 21, No: 1, pp. 264-272 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Arslan, E., Metin, B., Herencsar, N., Koton, J., Morgul, A., Cicekoglu, O. (2012), ""High Performance Wideband CMOS CCI and its Application in Inductance Simulator Design"", Advances in Electrical and Computer Engineering (AECE), Vol: 12, No: 3, pp. 21-26 (SCIE) .",,"<li>Arslan, E., Metin, B., Herencsar, N., Koton, J., Morgul, A., Cicekoglu, O. (2012), ""High Performance Wideband CMOS CCI and its Application in Inductance Simulator Design"", Advances in Electrical and Computer Engineering (AECE), Vol: 12, No: 3, pp. 21-26 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Pal, K., Cicekoglu, O. (2011), ""All-pass Filters Using DDCC and MOSFET Based Electronic Resistor"", International Journal of Circuit Theory and Applications, Vol: 39, No: 8, pp. 881-891 (SCIE) .",,"<li>Metin, B., Pal, K., Cicekoglu, O. (2011), ""All-pass Filters Using DDCC and MOSFET Based Electronic Resistor"", International Journal of Circuit Theory and Applications, Vol: 39, No: 8, pp. 881-891 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Herencsar, N., Pal, K. (2011), ""Supplementary First-Order All-Pass Filters with Two Grounded Passive Elements Using FDCCII"", Radioengineering, Vol: 20, No: 2, pp. 433-437 (SCIE) .",,"<li>Metin, B., Herencsar, N., Pal, K. (2011), ""Supplementary First-Order All-Pass Filters with Two Grounded Passive Elements Using FDCCII"", Radioengineering, Vol: 20, No: 2, pp. 433-437 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B. (2011), ""Supplementary Inductance Simulator Topologies Employing Single DXCCII"", Radioengineering, Vol: 20, No: 3, pp. 614-618 (SCIE) .",,"<li>Metin, B. (2011), ""Supplementary Inductance Simulator Topologies Employing Single DXCCII"", Radioengineering, Vol: 20, No: 3, pp. 614-618 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Pal, K., Cicekoglu, O. (2011), ""CMOS Controlled Inverting CDBA with a New All-pass Filter Application"", International Journal of Circuit Theory and Applications, Vol: 39, No: 4, pp. 417-425 (SCIE) .",,"<li>Metin, B., Pal, K., Cicekoglu, O. (2011), ""CMOS Controlled Inverting CDBA with a New All-pass Filter Application"", International Journal of Circuit Theory and Applications, Vol: 39, No: 4, pp. 417-425 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Kacar, F., Metin, B., Kuntman, H., Cicekoglu, O. (2010), ""A New High Performance CMOS Fully Differential Second-Generation Current Conveyor with Application Example of Biquad Filter Realization"", International Journal of Electronics, Vol: 97, No: 5, pp. 499-510 (SCI) .",,"<li>Kacar, F., Metin, B., Kuntman, H., Cicekoglu, O. (2010), ""A New High Performance CMOS Fully Differential Second-Generation Current Conveyor with Application Example of Biquad Filter Realization"", International Journal of Electronics, Vol: 97, No: 5, pp. 499-510 (SCI) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Minaei, S. (2010), ""Parasitic Compensation in CCI-based Circuits for Reduced Power Consumption"", Analog Integrated Circuits and Signal Processing, Vol: 65, No: 1, pp. 157-162 (SCIE) .",,"<li>Metin, B., Minaei, S. (2010), ""Parasitic Compensation in CCI-based Circuits for Reduced Power Consumption"", Analog Integrated Circuits and Signal Processing, Vol: 65, No: 1, pp. 157-162 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Pal, K. (2010), ""New All-Pass Filter Circuit Compensating for C-CDBA Non-Idealities"", Journal of Circuits Systems and Computers, Vol: 19, No: 2, pp. 381-391 (SCIE) .",,"<li>Metin, B., Pal, K. (2010), ""New All-Pass Filter Circuit Compensating for C-CDBA Non-Idealities"", Journal of Circuits Systems and Computers, Vol: 19, No: 2, pp. 381-391 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Kacar, F., Metin, B., Kuntman, H. (2010), ""A New CMOS Dual-X Second Generation Current Conveyor (DXCCII) with a FDNR Circuit Application"", AEUE International Journal of Electronics and Communication, Vol: 64, No: 8, pp. 774-778 (SCIE) .",,"<li>Kacar, F., Metin, B., Kuntman, H. (2010), ""A New CMOS Dual-X Second Generation Current Conveyor (DXCCII) with a FDNR Circuit Application"", AEUE International Journal of Electronics and Communication, Vol: 64, No: 8, pp. 774-778 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Cicekoglu, O. (2009), ""Component Reduced All-pass Filter with a Grounded Capacitor and High Impedance Input"", International Journal of Electronics, Vol: 96, No: 5, pp. 445-455 (SCIE) .",,"<li>Metin, B., Cicekoglu, O. (2009), ""Component Reduced All-pass Filter with a Grounded Capacitor and High Impedance Input"", International Journal of Electronics, Vol: 96, No: 5, pp. 445-455 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Pal, K., Minaei, S., Cicekoglu, O. (2009), ""Trade-off in the OTA Based Analog Filter Design"", Analog Integrated Circuits and Signal Processing, Vol: 60, No: 3, pp. 205-213 (SCIE) .",,"<li>Metin, B., Pal, K., Minaei, S., Cicekoglu, O. (2009), ""Trade-off in the OTA Based Analog Filter Design"", Analog Integrated Circuits and Signal Processing, Vol: 60, No: 3, pp. 205-213 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Arslan, E., Minaei, S., Cicekoglu, O. (2009), ""Dual Output Filter Topology With a Single NIC for Frequency Sensitive Application"", International Journal of Electronics, Vol: 96, No: 7, pp. 699-710 (SCIE) .",,"<li>Metin, B., Arslan, E., Minaei, S., Cicekoglu, O. (2009), ""Dual Output Filter Topology With a Single NIC for Frequency Sensitive Application"", International Journal of Electronics, Vol: 96, No: 7, pp. 699-710 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Pal, K. (2009), ""Cascadable Allpass Filter with A Single DO-CCII and A Grounded Capacito"", Analog Integrated Circuits and Signal Processing, Vol: 61, No: 3, pp. 259-263 (SCIE) .",,"<li>Metin, B., Pal, K. (2009), ""Cascadable Allpass Filter with A Single DO-CCII and A Grounded Capacito"", Analog Integrated Circuits and Signal Processing, Vol: 61, No: 3, pp. 259-263 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B. (2008), ""On the Advantage of Floating Serial RL Simulators in Ladder Filter Implementations"", Electronics World, Vol: 114, No: 1863, pp. 46-47 (SCIE) .",,"<li>Metin, B. (2008), ""On the Advantage of Floating Serial RL Simulators in Ladder Filter Implementations"", Electronics World, Vol: 114, No: 1863, pp. 46-47 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Pal, K., Cicekoglu, O. (2007), ""All-Pass Filter for Rich Cascadability Options, Easy IC Implementation and Tunability"", International Journal of Electronics, Vol: 94, No: 11, pp. 1037-1045 (SCIE) .",,"<li>Metin, B., Pal, K., Cicekoglu, O. (2007), ""All-Pass Filter for Rich Cascadability Options, Easy IC Implementation and Tunability"", International Journal of Electronics, Vol: 94, No: 11, pp. 1037-1045 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Yuce, E., Cicekoglu, O. (2007), ""A Novel Dual Output Universal Filter Topology Using a Single Current Conveyo"", Electrical Engineering (Archiv fur Elektrotechnik), Vol: 89, No: 7, pp. 563-567 (SCIE) .",,"<li>Metin, B., Yuce, E., Cicekoglu, O. (2007), ""A Novel Dual Output Universal Filter Topology Using a Single Current Conveyo"", Electrical Engineering (Archiv fur Elektrotechnik), Vol: 89, No: 7, pp. 563-567 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Minaei, S., Cicekoglu O. (2007), ""Enhanced Dynamic Range Analog Filter Topologies with a Notch/All-pass Circuit Example"", Analog Integrated Circuits and Signal Processing, Vol: 51, No: 3, pp. 181-189 (SCIE) .",,"<li>Metin, B., Minaei, S., Cicekoglu O. (2007), ""Enhanced Dynamic Range Analog Filter Topologies with a Notch/All-pass Circuit Example"", Analog Integrated Circuits and Signal Processing, Vol: 51, No: 3, pp. 181-189 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Cicekoglu, O. (2006), ""A Novel Floating Lossy Inductance Realization Topology with NICs Using Current Conveyors"", IEEE Trans. on Circuits and Systems II, Vol: 5, No: 6, pp. 483-486 (SCIE) .",,"<li>Metin, B., Cicekoglu, O. (2006), ""A Novel Floating Lossy Inductance Realization Topology with NICs Using Current Conveyors"", IEEE Trans. on Circuits and Systems II, Vol: 5, No: 6, pp. 483-486 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Yuce, E., Minaei, S., Metin, B (2005), ""Comments on 'Electronically Tunable Current-mode Second-order Universal Filter Using Minimum Elements"", Electronics Letters, Vol: 41, No: 8, pp. 453 (SCIE) .",,"<li>Yuce, E., Minaei, S., Metin, B (2005), ""Comments on 'Electronically Tunable Current-mode Second-order Universal Filter Using Minimum Elements"", Electronics Letters, Vol: 41, No: 8, pp. 453 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Yuce, E., Metin, B., Cicekoglu, O. (2004), ""Current-mode Biquadratic Filters Using Single CCIII and Minimum Numbers of Passive Elements"", Frequenz, Vol: 58, No: 9-10, pp. 225-228 (SCIE) .",,"<li>Yuce, E., Metin, B., Cicekoglu, O. (2004), ""Current-mode Biquadratic Filters Using Single CCIII and Minimum Numbers of Passive Elements"", Frequenz, Vol: 58, No: 9-10, pp. 225-228 (SCIE) .</li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B., Toker, A., Terzioglu, H., Cicekoglu, O. (2003), ""New All-Pass Section for High Performance Signal Processing with a Single CCII-"", Frequenz Journal of Telecommunication, Vol: 57, No: 11-12, pp. 241-243 (SCIE) .",,"<li>Metin, B., Toker, A., Terzioglu, H., Cicekoglu, O. (2003), ""New All-Pass Section for High Performance Signal Processing with a Single CCII-"", Frequenz Journal of Telecommunication, Vol: 57, No: 11-12, pp. 241-243 (SCIE) .</li>",field-name-field-international-article
